Mean,Max,Min,Std_Data,Std_Gradient,Status
92.53875,333.0,1.76,103.34808143326852,44.99545619372691,Anomali
9.661249999999999,36.0,2.25,8.582545908460574,5.798511961893519,Anomali
64.94291666666666,265.0,7.58,73.64469003709448,33.99628054040026,Anomali
170.70416666666665,378.0,28.2,109.71276695370912,86.15537500059445,Anomali
385.5625,2440.0,75.6,460.62923341564345,332.06809124368186,Anomali
245.34624999999997,1397.0,3.68,285.4838801609836,292.4695316206269,Anomali
811.375,3220.0,145.0,666.0040548237425,480.4317064536564,Anomali
396.15000000000003,1076.0,103.5,249.84739509014963,182.29546385330892,Anomali
239.60541666666666,891.0,18.23,227.60415621167024,152.5823862669441,Anomali
432.7250000000001,1381.0,42.3,356.0782782034497,221.54031046815473,Anomali
592.125,2090.0,59.3,517.3302783280716,382.1539191206935,Anomali
665.7666666666667,2250.0,142.0,455.0657486073365,380.54582947830784,Anomali
92.15249999999999,352.0,8.83,85.44388773975196,52.332111701174135,Anomali
165.38333333333333,341.0,43.0,82.61149368513372,48.91288102898413,Anomali
185.98750000000004,730.0,37.9,171.12623097317177,133.34407320026975,Anomali
135.86666666666665,306.0,33.3,68.51046554278324,56.30128156228378,Anomali
224.82083333333333,906.0,47.4,207.13713850805595,151.7144178492385,Anomali
248.5041666666667,620.0,27.4,144.94242097917902,91.1587260405351,Anomali
317.0625,986.0,91.8,231.34577442380484,143.9800889856148,Anomali
251.0875,904.0,56.1,177.401179798078,127.14169663924402,Anomali
264.72083333333336,898.0,37.7,183.39135743714556,148.6404610101353,Anomali
203.275,831.0,43.5,205.42232970557671,182.5705896587217,Anomali
209.0375,539.0,51.9,118.0275737998682,75.52661644524179,Anomali
273.1666666666667,1217.0,49.9,249.75718485939277,242.41252155703282,Anomali
248.39124999999999,689.0,12.65,208.28326331610074,97.18599380665663,Anomali
38.64875,72.5,0.56,15.453816495313815,7.166078028151491,Anomali
65.38333333333334,126.8,35.2,27.106482414523818,4.5846091974186365,Anomali
110.6075,185.3,14.98,50.195599014422235,18.385913142493994,Anomali
59.977916666666665,101.3,14.22,26.246350219152163,3.1812103522960493,Anomali
98.14583333333333,117.4,74.8,9.67070228261055,4.485176201171539,Anomali
90.13333333333333,105.0,74.3,8.78353889702525,2.9344746536740702,Anomali
121.04583333333333,137.0,101.7,10.342871102304665,4.063014390511065,Normal
113.77500000000002,126.1,98.8,6.7421713861336965,3.4305890124324447,Normal
84.04333333333334,237.0,0.42,64.56603594167929,22.268591292664254,Anomali
0.5216666666666666,0.79,0.33,0.14501915582279312,0.07420381794235538,Normal
0.6245833333333334,0.88,0.48,0.10641816756968187,0.05341099488869309,Normal
1.4412500000000001,2.42,0.78,0.48875959069874014,0.14919910610955042,Normal
1.5716666666666665,1.9,1.4,0.14108704956712206,0.04104060912343069,Normal
1.3633333333333333,1.59,1.12,0.18015425489162218,0.04880472355896166,Normal
1.1849999999999998,1.34,1.08,0.06626965117357014,0.0301378488043781,Normal
1.21125,1.29,1.13,0.03940309843992817,0.02331472472256299,Normal
1.2320833333333334,1.46,1.05,0.10103543795234533,0.036713393521831894,Normal
1.1091666666666666,1.22,1.01,0.03988699314591437,0.0203100960115899,Normal
1.0158333333333334,1.13,0.82,0.0785237048426921,0.038103933159481365,Normal
1.97375,12.57,0.81,2.461547298787222,1.5921856565521986,Anomali
7.462083333333333,14.23,4.42,2.9982286147638724,0.9505753922698026,Anomali
6.251249999999999,8.92,3.73,1.546284020105405,0.48216809071975447,Normal
1.5891666666666666,4.54,0.3,1.2365675499363369,0.24882353393854584,Normal
2.598333333333333,11.47,0.16,2.8891920246940246,0.8984312862103963,Anomali
9.805,15.6,3.0,4.256829806323011,1.4362146427327638,Normal
8.606666666666667,12.64,5.79,2.0884417370108483,0.39920749399765637,Normal
16.1925,62.6,5.22,14.680592702044876,6.01220304186965,Anomali
119.27916666666665,226.0,72.6,36.7280884697106,15.56315705886466,Anomali
301.4458333333333,387.0,188.1,68.87491669182297,17.203387984920944,Anomali
274.3208333333333,424.0,144.8,65.5573475361246,27.642807153514433,Anomali
490.1666666666667,715.0,373.0,87.56457934322276,26.633182102198923,Anomali
861.9583333333334,1370.0,610.0,252.02388761892306,86.94590182262762,Anomali
